   1: UNIQUE_HIDEOUT                                                   : Hideout Construction Kit
 128: T4_BURDOCK                                                       : Crenellated Burdock
 129: T5_TEASEL                                                        : Dragon Teasel
 130: T6_FOXGLOVE                                                      : Elusive Foxglove
 131: T7_MULLEIN                                                       : Firetouched Mullein
 132: T8_YARROW                                                        : Ghoul Yarrow
 133: T3_EGG                                                           : Hen Eggs
 134: T4_MILK                                                          : Goat's Milk
 135: T5_EGG                                                           : Goose Eggs
 136: T6_MILK                                                          : Sheep's Milk
 137: T8_MILK                                                          : Cow's Milk
 138: T1_FISH_FRESHWATER_ALL_COMMON                                    : Common Rudd
 139: T2_FISH_FRESHWATER_ALL_COMMON                                    : Striped Carp
 140: T3_FISH_FRESHWATER_ALL_COMMON                                    : Albion Perch
 141: T4_FISH_FRESHWATER_ALL_COMMON                                    : Bluescale Pike
 142: T5_FISH_FRESHWATER_ALL_COMMON                                    : Spotted Trout
 143: T6_FISH_FRESHWATER_ALL_COMMON                                    : Brightscale Zander
 144: T7_FISH_FRESHWATER_ALL_COMMON                                    : Danglemouth Catfish
 145: T8_FISH_FRESHWATER_ALL_COMMON                                    : River Sturgeon
 146: T1_FISH_SALTWATER_ALL_COMMON                                     : Common Herring
 147: T2_FISH_SALTWATER_ALL_COMMON                                     : Striped Mackerel
 148: T3_FISH_SALTWATER_ALL_COMMON                                     : Flatshore Plaice
 149: T4_FISH_SALTWATER_ALL_COMMON                                     : Bluescale Cod
 150: T5_FISH_SALTWATER_ALL_COMMON                                     : Spotted Wolffish
 151: T6_FISH_SALTWATER_ALL_COMMON                                     : Strongfin Salmon
 152: T7_FISH_SALTWATER_ALL_COMMON                                     : Bluefin Tuna
 153: T8_FISH_SALTWATER_ALL_COMMON                                     : Steelscale Swordfish
 154: T3_FISH_FRESHWATER_FOREST_RARE                                   : Greenriver Eel
 155: T5_FISH_FRESHWATER_FOREST_RARE                                   : Redspring Eel
 156: T7_FISH_FRESHWATER_FOREST_RARE                                   : Deadwater Eel
 157: T3_FISH_FRESHWATER_MOUNTAIN_RARE                                 : Upland Coldeye
 158: T5_FISH_FRESHWATER_MOUNTAIN_RARE                                 : Mountain Blindeye
 159: T7_FISH_FRESHWATER_MOUNTAIN_RARE                                 : Frostpeak Deadeye
 160: T3_FISH_FRESHWATER_HIGHLANDS_RARE                                : Stonestream Lurcher
 161: T5_FISH_FRESHWATER_HIGHLANDS_RARE                                : Rushwater Lurcher
 162: T7_FISH_FRESHWATER_HIGHLANDS_RARE                                : Thunderfall Lurcher
 163: T3_FISH_FRESHWATER_STEPPE_RARE                                   : Lowriver Crab
 164: T5_FISH_FRESHWATER_STEPPE_RARE                                   : Drybrook Crab
 165: T7_FISH_FRESHWATER_STEPPE_RARE                                   : Dusthole Crab
 166: T3_FISH_FRESHWATER_SWAMP_RARE                                    : Greenmoor Clam
 167: T5_FISH_FRESHWATER_SWAMP_RARE                                    : Murkwater Clam
 168: T7_FISH_FRESHWATER_SWAMP_RARE                                    : Blackbog Clam
 169: T3_FISH_SALTWATER_ALL_RARE                                       : Shallowshore Squid
 170: T5_FISH_SALTWATER_ALL_RARE                                       : Midwater Octopus
 171: T7_FISH_SALTWATER_ALL_RARE                                       : Deepwater Kraken
 172: T3_FISH_FRESHWATER_AVALON_RARE                                   : Whitefog Snapper
 173: T5_FISH_FRESHWATER_AVALON_RARE                                   : Clearhaze Snapper
 174: T7_FISH_FRESHWATER_AVALON_RARE                                   : Puremist Snapper
 175: T1_SEAWEED                                                       : Seaweed
 176: T8_FISH_SALTWATER_ALL_BOSS_SHARK                                 : Shark
 177: T1_FISHCHOPS                                                     : Chopped Fish
 178: T1_FISHSAUCE_LEVEL1                                              : Basic Fish Sauce
 179: T1_FISHSAUCE_LEVEL2                                              : Fancy Fish Sauce
 180: T1_FISHSAUCE_LEVEL3                                              : Special Fish Sauce
 181: TREASURE_KNOWLEDGE_RARITY1                                       : Corrupted Scroll
 182: TREASURE_KNOWLEDGE_RARITY2                                       : Thin Booklet
 183: TREASURE_KNOWLEDGE_RARITY3                                       : Ancient Tome
 184: TREASURE_SILVERWARE_RARITY1                                      : Silver Cup
 185: TREASURE_SILVERWARE_RARITY2                                      : Silver Mirror
 186: TREASURE_SILVERWARE_RARITY3                                      : Silver Candelabrum
 187: TREASURE_DECORATIVE_RARITY1                                      : Simple Stone Toy
 188: TREASURE_DECORATIVE_RARITY2                                      : Stone Mask
 189: TREASURE_DECORATIVE_RARITY3                                      : Stone Idol
 190: TREASURE_CEREMONIAL_RARITY1                                      : Ornamental Scepter
 191: TREASURE_CEREMONIAL_RARITY2                                      : Globus Cruciger
 192: TREASURE_CEREMONIAL_RARITY3                                      : Golden Crown
 193: TREASURE_TRIBAL_RARITY1                                          : Feather Talisman
 194: TREASURE_TRIBAL_RARITY2                                          : Dreamcatcher
 195: TREASURE_TRIBAL_RARITY3                                          : Holy Fetish
 196: TREASURE_RITUAL_RARITY1                                          : Ritual Candles
 197: TREASURE_RITUAL_RARITY2                                          : Blood Chalice
 198: TREASURE_RITUAL_RARITY3                                          : Sacrificial Dagger
 199: TREASURE_AVALON_RARITY1                                          : Golden Frame
 200: TREASURE_AVALON_RARITY2                                          : Golden Gyroscope
 201: TREASURE_AVALON_RARITY3                                          : Golden Sextant
 202: QUESTITEM_TUTORIAL_HERETIC_PLANS
 203: QUESTITEM_TRANSFER_LETTER                                        : Letter of Transfer
 204: QUESTITEM_LIGHT_BLUEPRINTS                                       : Delivery: Blueprints
 205: QUESTITEM_LIGHT_MANUSCRIPTS                                      : Delivery: Artistic Manuscripts
 206: QUESTITEM_LIGHT_SURVEYS                                          : Delivery: Geomantic Surveys
 207: QUESTITEM_HEAVY_MORTAR                                           : Delivery: Mortar
 208: QUESTITEM_HEAVY_CRATE                                            : Delivery: Crates
 209: QUESTITEM_HEAVY_BARREL                                           : Delivery: Barrels
 210: QUESTITEM_LIGHT_FUR                                              : Delivery: Heavy Fur
 211: QUESTITEM_LIGHT_THEPACKAGE                                       : Delivery: "The Package"
 212: QUESTITEM_LIGHT_PATROLROUTE                                      : Delivery: Patrol Route
 213: QUESTITEM_HEAVY_MOONSHINE                                        : Delivery: Geoff the Brigand's All-Natural Enriched Moonshine
 214: QUESTITEM_LIGHT_KITTENS                                          : Delivery: Sack of Kittens
 215: QUESTITEM_LIGHT_BEES                                             : Delivery: Beehives
 216: QUESTITEM_LIGHT_OLDCLOTHES                                       : Delivery: Old Clothes
 217: QUESTITEM_HEAVY_FARMTOOLS                                        : Delivery: Farmyard Tools
 218: QUESTITEM_HEAVY_MANURE                                           : Delivery: Pile of Manure
 219: QUESTITEM_LIGHT_ASSASSINATION                                    : Delivery: Assassination Order
 220: QUESTITEM_LIGHT_CASUALTIES                                       : Delivery: Casualty Report
 221: QUESTITEM_LIGHT_RINGS                                            : Delivery: Regimental Rings
 222: QUESTITEM_HEAVY_MEDICAL                                          : Delivery: Medical Supplies
 223: QUESTITEM_HEAVY_FIREBARREL                                       : Delivery: Sensitive Barrels
 224: QUESTITEM_CARAVAN_TRADEPACK_CAERLEON_LIGHT
 225: QUESTITEM_CARAVAN_TRADEPACK_CAERLEON_MEDIUM
 226: QUESTITEM_CARAVAN_TRADEPACK_CAERLEON_HEAVY
 227: QUESTITEM_CARAVAN_TRADEPACK_SWAMP_LIGHT
 228: QUESTITEM_CARAVAN_TRADEPACK_SWAMP_MEDIUM
 229: QUESTITEM_CARAVAN_TRADEPACK_SWAMP_HEAVY
 230: QUESTITEM_CARAVAN_TRADEPACK_FOREST_LIGHT
 231: QUESTITEM_CARAVAN_TRADEPACK_FOREST_MEDIUM
 232: QUESTITEM_CARAVAN_TRADEPACK_FOREST_HEAVY
 233: QUESTITEM_CARAVAN_TRADEPACK_STEPPE_LIGHT
 234: QUESTITEM_CARAVAN_TRADEPACK_STEPPE_MEDIUM
 235: QUESTITEM_CARAVAN_TRADEPACK_STEPPE_HEAVY
 236: QUESTITEM_CARAVAN_TRADEPACK_HIGHLAND_LIGHT
 237: QUESTITEM_CARAVAN_TRADEPACK_HIGHLAND_MEDIUM
 238: QUESTITEM_CARAVAN_TRADEPACK_HIGHLAND_HEAVY
 239: QUESTITEM_CARAVAN_TRADEPACK_MOUNTAIN_LIGHT
 240: QUESTITEM_CARAVAN_TRADEPACK_MOUNTAIN_MEDIUM
 241: QUESTITEM_CARAVAN_TRADEPACK_MOUNTAIN_HEAVY
 242: QUESTITEM_TOKEN_ARENA_UNRANKED                                   : Arena Sigil
 243: QUESTITEM_TOKEN_ARENA_CRYSTAL
 244: QUESTITEM_TOKEN_AVALON                                           : Avalonian Energy
 245: QUESTITEM_TOKEN_MISTS                                            : Faerie Fire
 246: QUESTITEM_EXP_TOKEN_D1_T6_EXP_HRD_WINTER_EVENT
 247: QUESTITEM_EXP_TOKEN_D1_T6_EXP_HRD_UNDEAD_RECRUITMENT
 248: QUESTITEM_EXP_TOKEN_D2_T6_EXP_HRD_UNDEAD_RECRUITMENT
 249: QUESTITEM_EXP_TOKEN_D3_T6_EXP_HRD_UNDEAD_RECRUITMENT
 250: QUESTITEM_EXP_TOKEN_D4_T6_EXP_HRD_UNDEAD_RECRUITMENT
 251: QUESTITEM_EXP_TOKEN_D5_T6_EXP_HRD_UNDEAD_RECRUITMENT
 252: QUESTITEM_EXP_TOKEN_D6_T6_EXP_HRD_UNDEAD_RECRUITMENT
 253: QUESTITEM_EXP_TOKEN_D7_T6_EXP_HRD_UNDEAD_RECRUITMENT
 254: QUESTITEM_EXP_TOKEN_D8_T6_EXP_HRD_UNDEAD_RECRUITMENT
 255: QUESTITEM_EXP_TOKEN_D9_T6_EXP_HRD_UNDEAD_RECRUITMENT
 256: QUESTITEM_EXP_TOKEN_D10_T6_EXP_HRD_UNDEAD_RECRUITMENT
 257: QUESTITEM_EXP_TOKEN_D11_T6_EXP_HRD_UNDEAD_RECRUITMENT
 258: QUESTITEM_EXP_TOKEN_D12_T6_EXP_HRD_UNDEAD_RECRUITMENT
 259: QUESTITEM_EXP_TOKEN_D13_T6_EXP_HRD_UNDEAD_RECRUITMENT
 260: QUESTITEM_EXP_TOKEN_D14_T6_EXP_HRD_UNDEAD_RECRUITMENT
 261: QUESTITEM_EXP_TOKEN_D15_T6_EXP_HRD_UNDEAD_RECRUITMENT
 262: QUESTITEM_EXP_TOKEN_D16_T6_EXP_HRD_UNDEAD_RECRUITMENT
 263: QUESTITEM_EXP_TOKEN_D17_T6_EXP_HRD_UNDEAD_RECRUITMENT
 264: QUESTITEM_EXP_TOKEN_D18_T6_EXP_HRD_UNDEAD_RECRUITMENT
 265: QUESTITEM_EXP_TOKEN_D1_T6_EXP_HRD_HERETIC_FISHYBUSINESS
 266: QUESTITEM_EXP_TOKEN_D2_T6_EXP_HRD_HERETIC_FISHYBUSINESS
 267: QUESTITEM_EXP_TOKEN_D3_T6_EXP_HRD_HERETIC_FISHYBUSINESS
 268: QUESTITEM_EXP_TOKEN_D4_T6_EXP_HRD_HERETIC_FISHYBUSINESS
 269: QUESTITEM_EXP_TOKEN_D5_T6_EXP_HRD_HERETIC_FISHYBUSINESS
 270: QUESTITEM_EXP_TOKEN_D6_T6_EXP_HRD_HERETIC_FISHYBUSINESS
 271: QUESTITEM_EXP_TOKEN_D7_T6_EXP_HRD_HERETIC_FISHYBUSINESS
 272: QUESTITEM_EXP_TOKEN_D8_T6_EXP_HRD_HERETIC_FISHYBUSINESS
 273: QUESTITEM_EXP_TOKEN_D9_T6_EXP_HRD_HERETIC_FISHYBUSINESS
 274: QUESTITEM_EXP_TOKEN_D10_T6_EXP_HRD_HERETIC_FISHYBUSINESS
 275: QUESTITEM_EXP_TOKEN_D11_T6_EXP_HRD_HERETIC_FISHYBUSINESS
 276: QUESTITEM_EXP_TOKEN_D12_T6_EXP_HRD_HERETIC_FISHYBUSINESS
 277: QUESTITEM_EXP_TOKEN_D13_T6_EXP_HRD_HERETIC_FISHYBUSINESS
 278: QUESTITEM_EXP_TOKEN_D14_T6_EXP_HRD_HERETIC_FISHYBUSINESS
 279: QUESTITEM_EXP_TOKEN_D15_T6_EXP_HRD_HERETIC_FISHYBUSINESS
 280: QUESTITEM_EXP_TOKEN_D16_T6_EXP_HRD_HERETIC_FISHYBUSINESS
 281: QUESTITEM_EXP_TOKEN_D17_T6_EXP_HRD_HERETIC_FISHYBUSINESS
 282: QUESTITEM_EXP_TOKEN_D18_T6_EXP_HRD_HERETIC_FISHYBUSINESS
 283: QUESTITEM_EXP_TOKEN_D1_T6_EXP_HRD_KEEPER_STONEWARS
 284: QUESTITEM_EXP_TOKEN_D2_T6_EXP_HRD_KEEPER_STONEWARS
 285: QUESTITEM_EXP_TOKEN_D3_T6_EXP_HRD_KEEPER_STONEWARS
 286: QUESTITEM_EXP_TOKEN_D4_T6_EXP_HRD_KEEPER_STONEWARS
 287: QUESTITEM_EXP_TOKEN_D5_T6_EXP_HRD_KEEPER_STONEWARS
 288: QUESTITEM_EXP_TOKEN_D6_T6_EXP_HRD_KEEPER_STONEWARS
 289: QUESTITEM_EXP_TOKEN_D7_T6_EXP_HRD_KEEPER_STONEWARS
 290: QUESTITEM_EXP_TOKEN_D8_T6_EXP_HRD_KEEPER_STONEWARS
 291: QUESTITEM_EXP_TOKEN_D9_T6_EXP_HRD_KEEPER_STONEWARS
 292: QUESTITEM_EXP_TOKEN_D10_T6_EXP_HRD_KEEPER_STONEWARS
 293: QUESTITEM_EXP_TOKEN_D11_T6_EXP_HRD_KEEPER_STONEWARS
 294: QUESTITEM_EXP_TOKEN_D12_T6_EXP_HRD_KEEPER_STONEWARS
 295: QUESTITEM_EXP_TOKEN_D13_T6_EXP_HRD_KEEPER_STONEWARS
 296: QUESTITEM_EXP_TOKEN_D14_T6_EXP_HRD_KEEPER_STONEWARS
 297: QUESTITEM_EXP_TOKEN_D15_T6_EXP_HRD_KEEPER_STONEWARS
 298: QUESTITEM_EXP_TOKEN_D16_T6_EXP_HRD_KEEPER_STONEWARS
 299: QUESTITEM_EXP_TOKEN_D17_T6_EXP_HRD_KEEPER_STONEWARS
 300: QUESTITEM_EXP_TOKEN_D18_T6_EXP_HRD_KEEPER_STONEWARS
 301: QUESTITEM_EXP_TOKEN_D1_T6_EXP_HRD_HERETIC_LUMBERCAMP
 302: QUESTITEM_EXP_TOKEN_D2_T6_EXP_HRD_HERETIC_LUMBERCAMP
 303: QUESTITEM_EXP_TOKEN_D3_T6_EXP_HRD_HERETIC_LUMBERCAMP
 304: QUESTITEM_EXP_TOKEN_D4_T6_EXP_HRD_HERETIC_LUMBERCAMP
 305: QUESTITEM_EXP_TOKEN_D5_T6_EXP_HRD_HERETIC_LUMBERCAMP
 306: QUESTITEM_EXP_TOKEN_D6_T6_EXP_HRD_HERETIC_LUMBERCAMP
 307: QUESTITEM_EXP_TOKEN_D7_T6_EXP_HRD_HERETIC_LUMBERCAMP
 308: QUESTITEM_EXP_TOKEN_D8_T6_EXP_HRD_HERETIC_LUMBERCAMP
 309: QUESTITEM_EXP_TOKEN_D9_T6_EXP_HRD_HERETIC_LUMBERCAMP
 310: QUESTITEM_EXP_TOKEN_D10_T6_EXP_HRD_HERETIC_LUMBERCAMP
 311: QUESTITEM_EXP_TOKEN_D11_T6_EXP_HRD_HERETIC_LUMBERCAMP
 312: QUESTITEM_EXP_TOKEN_D12_T6_EXP_HRD_HERETIC_LUMBERCAMP
 313: QUESTITEM_EXP_TOKEN_D13_T6_EXP_HRD_HERETIC_LUMBERCAMP
 314: QUESTITEM_EXP_TOKEN_D14_T6_EXP_HRD_HERETIC_LUMBERCAMP
 315: QUESTITEM_EXP_TOKEN_D15_T6_EXP_HRD_HERETIC_LUMBERCAMP
 316: QUESTITEM_EXP_TOKEN_D16_T6_EXP_HRD_HERETIC_LUMBERCAMP
 317: QUESTITEM_EXP_TOKEN_D17_T6_EXP_HRD_HERETIC_LUMBERCAMP
 318: QUESTITEM_EXP_TOKEN_D18_T6_EXP_HRD_HERETIC_LUMBERCAMP
 319: QUESTITEM_EXP_TOKEN_D1_T6_EXP_HRD_UNDEAD_SEWERSCRYPT
 320: QUESTITEM_EXP_TOKEN_D2_T6_EXP_HRD_UNDEAD_SEWERSCRYPT
 321: QUESTITEM_EXP_TOKEN_D3_T6_EXP_HRD_UNDEAD_SEWERSCRYPT
 322: QUESTITEM_EXP_TOKEN_D4_T6_EXP_HRD_UNDEAD_SEWERSCRYPT
 323: QUESTITEM_EXP_TOKEN_D5_T6_EXP_HRD_UNDEAD_SEWERSCRYPT
 324: QUESTITEM_EXP_TOKEN_D6_T6_EXP_HRD_UNDEAD_SEWERSCRYPT
 325: QUESTITEM_EXP_TOKEN_D7_T6_EXP_HRD_UNDEAD_SEWERSCRYPT
 326: QUESTITEM_EXP_TOKEN_D8_T6_EXP_HRD_UNDEAD_SEWERSCRYPT
 327: QUESTITEM_EXP_TOKEN_D9_T6_EXP_HRD_UNDEAD_SEWERSCRYPT
 328: QUESTITEM_EXP_TOKEN_D10_T6_EXP_HRD_UNDEAD_SEWERSCRYPT
 329: QUESTITEM_EXP_TOKEN_D11_T6_EXP_HRD_UNDEAD_SEWERSCRYPT
 330: QUESTITEM_EXP_TOKEN_D12_T6_EXP_HRD_UNDEAD_SEWERSCRYPT
 331: QUESTITEM_EXP_TOKEN_D13_T6_EXP_HRD_UNDEAD_SEWERSCRYPT
 332: QUESTITEM_EXP_TOKEN_D14_T6_EXP_HRD_UNDEAD_SEWERSCRYPT
 333: QUESTITEM_EXP_TOKEN_D15_T6_EXP_HRD_UNDEAD_SEWERSCRYPT
 334: QUESTITEM_EXP_TOKEN_D16_T6_EXP_HRD_UNDEAD_SEWERSCRYPT
 335: QUESTITEM_EXP_TOKEN_D17_T6_EXP_HRD_UNDEAD_SEWERSCRYPT
 336: QUESTITEM_EXP_TOKEN_D18_T6_EXP_HRD_UNDEAD_SEWERSCRYPT
 337: QUESTITEM_EXP_TOKEN_D1_T6_EXP_HRD_KEEPER_MUSHROOM
 338: QUESTITEM_EXP_TOKEN_D2_T6_EXP_HRD_KEEPER_MUSHROOM
 339: QUESTITEM_EXP_TOKEN_D3_T6_EXP_HRD_KEEPER_MUSHROOM
 340: QUESTITEM_EXP_TOKEN_D4_T6_EXP_HRD_KEEPER_MUSHROOM
 341: QUESTITEM_EXP_TOKEN_D5_T6_EXP_HRD_KEEPER_MUSHROOM
 342: QUESTITEM_EXP_TOKEN_D6_T6_EXP_HRD_KEEPER_MUSHROOM
 343: QUESTITEM_EXP_TOKEN_D7_T6_EXP_HRD_KEEPER_MUSHROOM
